hash_family;5
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167023
sparsity;0.53672695
a-priori fpp;0.00045692
fpp;0.00045538
a-priori safeness probability;0.03130724
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
1;256;1375;7;1395;0.53788126;0.54641598;0.00001277;0.00001291;0.00044416;0.11370406;0.00036862;0.89249951
2;256;1379;4;1402;0.53919601;0.54851329;0.00001248;0.00001264;0.00043168;0.11051012;0.00035192;0.89535588
3;256;1382;3;1331;0.54051405;0.52053189;0.00001219;0.00001170;0.00041949;0.10738965;0.00064209;0.89815539
4;256;1385;2;1411;0.54183525;0.55160284;0.00001191;0.00001209;0.00040758;0.10434137;0.00032857;0.90089852
5;256;1389;3;1373;0.54315972;0.53695738;0.00001163;0.00001146;0.00039595;0.10136402;0.00045312;0.90358591
6;256;1392;2;1408;0.54448742;0.55043000;0.00001136;0.00001145;0.00038460;0.09845635;0.00033727;0.90621811
7;256;1396;0;1423;0.54581833;0.55585939;0.00001109;0.00001127;0.00037350;0.09561714;0.00029868;0.90879565
8;256;1399;4;1409;0.54715258;0.55125195;0.00001083;0.00001086;0.00036268;0.09284515;0.00033115;0.91131926
9;256;1402;2;1426;0.54848999;0.55746675;0.00001057;0.00001070;0.00035211;0.09013920;0.00028804;0.91378945
10;256;1406;3;1382;0.54983073;0.54047710;0.00001032;0.00001010;0.00034179;0.08749806;0.00041983;0.91620696
11;256;1409;2;1443;0.55117470;0.56411260;0.00001007;0.00001026;0.00033172;0.08492059;0.00024760;0.91857231
12;256;1413;3;1451;0.55252200;0.56746185;0.00000982;0.00001004;0.00032190;0.08240560;0.00022922;0.92088616
13;256;1416;2;1464;0.55387259;0.57232213;0.00000958;0.00000985;0.00031231;0.07995194;0.00020472;0.92314917
14;256;1420;1;1384;0.55522645;0.54083627;0.00000935;0.00000906;0.00030296;0.07755847;0.00041656;0.92536205
15;256;1423;2;1400;0.55658364;0.54730260;0.00000912;0.00000892;0.00029384;0.07522407;0.00036148;0.92752540
16;256;1427;4;1456;0.55794418;0.56964004;0.00000889;0.00000902;0.00028495;0.07294763;0.00021793;0.92963988
17;256;1430;3;1424;0.55930799;0.55690265;0.00000867;0.00000858;0.00027628;0.07072803;0.00029174;0.93170613
18;256;1434;1;1407;0.56067514;0.54982418;0.00000845;0.00000825;0.00026783;0.06856421;0.00034184;0.93372494
19;256;1437;1;1446;0.56204569;0.56506449;0.00000824;0.00000824;0.00025959;0.06645507;0.00024224;0.93569690
20;256;1441;4;1424;0.56341952;0.55712050;0.00000803;0.00000789;0.00025156;0.06439956;0.00029031;0.93762267
21;256;1444;1;1480;0.56479675;0.57835090;0.00000782;0.00000797;0.00024374;0.06239664;0.00017763;0.93950301
22;256;1448;7;1441;0.56617737;0.56443399;0.00000762;0.00000754;0.00023611;0.06044526;0.00024578;0.94133860
23;256;1451;4;1481;0.56756133;0.57942098;0.00000743;0.00000753;0.00022869;0.05854442;0.00017317;0.94313002
24;256;1455;4;1405;0.56894863;0.54968703;0.00000723;0.00000694;0.00022146;0.05669310;0.00034288;0.94487810
25;256;1458;3;1476;0.57033938;0.57723898;0.00000704;0.00000709;0.00021442;0.05489029;0.00018237;0.94658339
26;256;1462;2;1492;0.57173347;0.58326817;0.00000686;0.00000695;0.00020756;0.05313503;0.00015797;0.94824672
27;256;1465;4;1443;0.57313102;0.56455398;0.00000667;0.00000653;0.00020088;0.05142635;0.00024510;0.94986868
28;256;1469;2;1477;0.57453197;0.57740420;0.00000650;0.00000649;0.00019439;0.04976328;0.00018166;0.95145005
29;256;1473;2;1495;0.57593638;0.58444095;0.00000632;0.00000638;0.00018807;0.04814488;0.00015358;0.95299137
30;256;1476;2;1479;0.57734418;0.57818609;0.00000615;0.00000612;0.00018191;0.04657023;0.00017832;0.95449346
