hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166166
sparsity;0.53590965
a-priori fpp;0.00045692
fpp;0.00046347
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
1;510;2743;10;2673;0.53918576;0.52514732;0.00002515;0.00002484;0.00043178;0.22020602;0.00058289;0.80231535
2;508;2746;18;2759;0.54180425;0.54504150;0.00002392;0.00002437;0.00040786;0.20719256;0.00037994;0.81282878
3;506;2748;11;2797;0.54442513;0.55397111;0.00002274;0.00002346;0.00038512;0.19487150;0.00031162;0.82290953
4;504;2751;16;2769;0.54704821;0.55115443;0.00002161;0.00002204;0.00036351;0.18321054;0.00033187;0.83256513
5;502;2753;8;2764;0.54967344;0.55147648;0.00002053;0.00002088;0.00034299;0.17217866;0.00032950;0.84180391
6;500;2755;12;2757;0.55230075;0.55272657;0.00001949;0.00001976;0.00032349;0.16174605;0.00032043;0.85063493
7;498;2757;11;2791;0.55493003;0.56168240;0.00001850;0.00001897;0.00030499;0.15188408;0.00026175;0.85906798
8;496;2759;5;2823;0.55756122;0.56972754;0.00001756;0.00001818;0.00028743;0.14256528;0.00021749;0.86711317
9;494;2761;10;2773;0.56019413;0.56247467;0.00001665;0.00001691;0.00027078;0.13376331;0.00025706;0.87478125
10;492;2763;10;2819;0.56282878;0.57413441;0.00001579;0.00001628;0.00025499;0.12545285;0.00019621;0.88208324
11;490;2764;9;2732;0.56546503;0.55857700;0.00001497;0.00001494;0.00024002;0.11760970;0.00028090;0.88903046
12;488;2766;12;2749;0.56810284;0.56470829;0.00001418;0.00001424;0.00022584;0.11021062;0.00024423;0.89563435
13;486;2767;17;2726;0.57074201;0.56287426;0.00001343;0.00001338;0.00021241;0.10323337;0.00025472;0.90190655
14;484;2769;11;2817;0.57338250;0.58335060;0.00001271;0.00001308;0.00019970;0.09665666;0.00015765;0.90785891
15;482;2770;10;2772;0.57602429;0.57629937;0.00001203;0.00001217;0.00018768;0.09046009;0.00018646;0.91350305
16;480;2771;7;2789;0.57866716;0.58189029;0.00001138;0.00001157;0.00017630;0.08462419;0.00016327;0.91885066
17;478;2772;15;2778;0.58131105;0.58300108;0.00001076;0.00001089;0.00016554;0.07913030;0.00015898;0.92391348
18;476;2773;13;2792;0.58395588;0.58816093;0.00001017;0.00001034;0.00015538;0.07396062;0.00014037;0.92870295
19;474;2774;17;2779;0.58660161;0.58839720;0.00000960;0.00000972;0.00014578;0.06909810;0.00013957;0.93323040
20;472;2775;12;2798;0.58924806;0.59430754;0.00000907;0.00000924;0.00013671;0.06452652;0.00012077;0.93750709
21;470;2776;12;2810;0.59189516;0.59940273;0.00000856;0.00000875;0.00012815;0.06023034;0.00010643;0.94154400
22;468;2776;10;2778;0.59454280;0.59486079;0.00000808;0.00000816;0.00012007;0.05619477;0.00011914;0.94535178
23;466;2777;11;2729;0.59719092;0.58700794;0.00000762;0.00000756;0.00011246;0.05240570;0.00014435;0.94894099
24;464;2777;5;2770;0.59983939;0.59762675;0.00000718;0.00000724;0.00010528;0.04884967;0.00011125;0.95232183
25;462;2777;14;2785;0.60248810;0.60464609;0.00000676;0.00000685;0.00009851;0.04551385;0.00009330;0.95550424
26;460;2778;11;2790;0.60513693;0.60797560;0.00000637;0.00000647;0.00009214;0.04238605;0.00008573;0.95849782
27;458;2778;9;2789;0.60778588;0.61015093;0.00000600;0.00000608;0.00008615;0.03945463;0.00008109;0.96131194
28;456;2778;11;2748;0.61043471;0.60408878;0.00000564;0.00000564;0.00008050;0.03670855;0.00009462;0.96395564
29;454;2777;10;2806;0.61308342;0.61942607;0.00000531;0.00000542;0.00007519;0.03413729;0.00006374;0.96643758
30;452;2777;10;2807;0.61573189;0.62239468;0.00000499;0.00000510;0.00007020;0.03173085;0.00005894;0.96876621
31;450;2777;11;2748;0.61838001;0.61216307;0.00000469;0.00000469;0.00006551;0.02947973;0.00007700;0.97094965
32;448;2776;12;2808;0.62102771;0.62846911;0.00000441;0.00000450;0.00006110;0.02737492;0.00005011;0.97299558
33;446;2776;8;2744;0.62367475;0.61635220;0.00000414;0.00000413;0.00005697;0.02540786;0.00006908;0.97491151
