hash_family;0
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167200
sparsity;0.53689575
a-priori fpp;0.00045692
fpp;0.00045372
a-priori safeness probability;0.03131089
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
1;270;1451;3;1451;0.53795308;0.53800517;0.00001346;0.00001338;0.00044347;0.11973599;0.00044297;0.88713104
2;251;1352;1;1346;0.53924233;0.53646868;0.00001222;0.00001209;0.00043125;0.10824294;0.00045792;0.89738858
3;263;1420;5;1511;0.54059654;0.57561904;0.00001251;0.00001322;0.00041874;0.11012820;0.00018948;0.89569867
4;248;1342;2;1315;0.54187661;0.53066987;0.00001152;0.00001120;0.00040722;0.10098954;0.00051854;0.90392393
5;248;1345;0;1319;0.54315972;0.53185487;0.00001126;0.00001096;0.00039595;0.09819639;0.00050560;0.90645325
6;257;1398;1;1392;0.54449260;0.54184508;0.00001140;0.00001128;0.00038455;0.09882969;0.00040750;0.90587980
7;227;1237;3;1230;0.54567266;0.54256725;0.00000985;0.00000972;0.00037470;0.08505794;0.00040112;0.91844440
8;215;1174;7;1148;0.54679263;0.53569764;0.00000914;0.00000887;0.00036557;0.07859740;0.00046560;0.92439872
9;265;1451;3;1445;0.54817623;0.54590100;0.00001101;0.00001090;0.00035456;0.09395859;0.00037283;0.91030532
10;258;1416;1;1446;0.54952669;0.56068242;0.00001046;0.00001061;0.00034410;0.08877903;0.00026778;0.91503376
11;253;1392;1;1425;0.55085421;0.56346381;0.00001001;0.00001017;0.00033410;0.08452674;0.00025131;0.91893411
12;273;1506;2;1554;0.55229020;0.56964809;0.00001053;0.00001078;0.00032357;0.08833412;0.00021789;0.91544187
13;263;1454;7;1464;0.55367720;0.55813956;0.00000989;0.00000987;0.00031368;0.08249860;0.00028369;0.92080081
14;260;1441;6;1458;0.55505174;0.56206632;0.00000953;0.00000955;0.00030415;0.07908028;0.00025947;0.92395461
15;252;1400;5;1387;0.55638731;0.55149108;0.00000901;0.00000884;0.00029515;0.07437727;0.00032939;0.92831123
