hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166974
sparsity;0.53668022
a-priori fpp;0.00045692
fpp;0.00045584
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
1;510;2743;13;2747;0.53918576;0.54000396;0.00002515;0.00002513;0.00043178;0.22020602;0.00042417;0.80231535
2;508;2746;16;2771;0.54180425;0.54719591;0.00002392;0.00002408;0.00040786;0.20719256;0.00036233;0.81282878
3;506;2748;5;2693;0.54442513;0.53273988;0.00002274;0.00002223;0.00038512;0.19487150;0.00049612;0.82290953
4;504;2751;11;2748;0.54704821;0.54643071;0.00002161;0.00002155;0.00036351;0.18321054;0.00036850;0.83256513
5;502;2753;16;2741;0.54967344;0.54776180;0.00002053;0.00002041;0.00034299;0.17217866;0.00035783;0.84180391
6;500;2755;15;2697;0.55230075;0.54102308;0.00001949;0.00001907;0.00032349;0.16174605;0.00041487;0.85063493
7;498;2757;5;2698;0.55493003;0.54231155;0.00001850;0.00001811;0.00030499;0.15188408;0.00040337;0.85906798
8;496;2759;18;2683;0.55756122;0.54289764;0.00001756;0.00001710;0.00028743;0.14256528;0.00039823;0.86711317
9;494;2761;15;2733;0.56019413;0.55492383;0.00001665;0.00001653;0.00027078;0.13376331;0.00030503;0.87478125
10;492;2763;7;2761;0.56282878;0.56197840;0.00001579;0.00001583;0.00025499;0.12545285;0.00025999;0.88208324
11;490;2764;9;2728;0.56546503;0.55775917;0.00001497;0.00001482;0.00024002;0.11760970;0.00028615;0.88903046
12;488;2766;17;2759;0.56810284;0.56734526;0.00001418;0.00001420;0.00022584;0.11021062;0.00022983;0.89563435
13;486;2767;10;2737;0.57074201;0.56432992;0.00001343;0.00001333;0.00021241;0.10323337;0.00024636;0.90190655
14;484;2769;6;2775;0.57338250;0.57405877;0.00001271;0.00001279;0.00019970;0.09665666;0.00019656;0.90785891
15;482;2770;12;2774;0.57602429;0.57695508;0.00001203;0.00001210;0.00018768;0.09046009;0.00018360;0.91350305
16;480;2771;7;2753;0.57866716;0.57437932;0.00001138;0.00001135;0.00017630;0.08462419;0.00019509;0.91885066
17;478;2772;7;2722;0.58131105;0.57029122;0.00001076;0.00001062;0.00016554;0.07913030;0.00021466;0.92391348
18;476;2773;10;2802;0.58395588;0.58989471;0.00001017;0.00001033;0.00015538;0.07396062;0.00013457;0.92870295
19;474;2774;15;2812;0.58660161;0.59513229;0.00000960;0.00000978;0.00014578;0.06909810;0.00011834;0.93323040
20;472;2775;13;2810;0.58924806;0.59698319;0.00000907;0.00000922;0.00013671;0.06452652;0.00011304;0.93750709
21;470;2776;14;2726;0.59189516;0.58173281;0.00000856;0.00000844;0.00012815;0.06023034;0.00016388;0.94154400
